S'han llegit 303 línies
0)Aeroport ABE
1)Aeroport ABI
2)Aeroport ABQ
3)Aeroport ABY
4)Aeroport ACK
5)Aeroport ACT
6)Aeroport ACV
7)Aeroport ACY
8)Aeroport ADK
9)Aeroport ADQ
10)Aeroport AEX
11)Aeroport AGS
12)Aeroport AKN
13)Aeroport ALB
14)Aeroport ALO
15)Aeroport AMA
16)Aeroport ANC
17)Aeroport ASE
18)Aeroport ATL
19)Aeroport ATW
20)Aeroport AUS
21)Aeroport AVL
22)Aeroport AVP
23)Aeroport AZO
24)Aeroport BDL
25)Aeroport BET
26)Aeroport BFL
27)Aeroport BGM
28)Aeroport BGR
29)Aeroport BHM
30)Aeroport BIL
31)Aeroport BIS
32)Aeroport BJI
33)Aeroport BLI
34)Aeroport BMI
35)Aeroport BNA
36)Aeroport BOI
37)Aeroport BOS
38)Aeroport BPT
39)Aeroport BQK
40)Aeroport BQN
41)Aeroport BRO
42)Aeroport BRW
43)Aeroport BTM
44)Aeroport BTR
45)Aeroport BTV
46)Aeroport BUF
47)Aeroport BUR
48)Aeroport BWI
49)Aeroport BZN
50)Aeroport CAE
51)Aeroport CAK
52)Aeroport CDC
53)Aeroport CDV
54)Aeroport CEC
55)Aeroport CHA
56)Aeroport CHO
57)Aeroport CHS
58)Aeroport CIC
59)Aeroport CID
60)Aeroport CLD
61)Aeroport CLE
62)Aeroport CLL
63)Aeroport CLT
64)Aeroport CMH
65)Aeroport CMI
66)Aeroport CMX
67)Aeroport COD
68)Aeroport COS
69)Aeroport CPR
70)Aeroport CRP
71)Aeroport CRW
72)Aeroport CSG
73)Aeroport CVG
74)Aeroport CWA
75)Aeroport DAB
76)Aeroport DAL
77)Aeroport DAY
78)Aeroport DBQ
79)Aeroport DCA
80)Aeroport DEN
81)Aeroport DFW
82)Aeroport DHN
83)Aeroport DLG
84)Aeroport DLH
85)Aeroport DRO
86)Aeroport DSM
87)Aeroport DTW
88)Aeroport EGE
89)Aeroport EKO
90)Aeroport ELM
91)Aeroport ELP
92)Aeroport ERI
93)Aeroport EUG
94)Aeroport EVV
95)Aeroport EWN
96)Aeroport EWR
97)Aeroport EYW
98)Aeroport FAI
99)Aeroport FAR
100)Aeroport FAT
101)Aeroport FAY
102)Aeroport FCA
103)Aeroport FLG
104)Aeroport FLL
105)Aeroport FLO
106)Aeroport FNT
107)Aeroport FSD
108)Aeroport FSM
109)Aeroport FWA
110)Aeroport GCC
111)Aeroport GEG
112)Aeroport GFK
113)Aeroport GGG
114)Aeroport GJT
115)Aeroport GNV
116)Aeroport GPT
117)Aeroport GRB
118)Aeroport GRK
119)Aeroport GRR
120)Aeroport GSO
121)Aeroport GSP
122)Aeroport GST
123)Aeroport GTF
124)Aeroport GTR
125)Aeroport GUC
126)Aeroport HDN
127)Aeroport HHH
128)Aeroport HLN
129)Aeroport HNL
130)Aeroport HOU
131)Aeroport HPN
132)Aeroport HRL
133)Aeroport HSV
134)Aeroport HTS
135)Aeroport IAD
136)Aeroport IAH
137)Aeroport ICT
138)Aeroport IDA
139)Aeroport ILM
140)Aeroport IND
141)Aeroport INL
142)Aeroport IPL
143)Aeroport ISP
144)Aeroport ITH
145)Aeroport ITO
146)Aeroport IYK
147)Aeroport JAC
148)Aeroport JAN
149)Aeroport JAX
150)Aeroport JFK
151)Aeroport JNU
152)Aeroport KOA
153)Aeroport KTN
154)Aeroport LAN
155)Aeroport LAS
156)Aeroport LAW
157)Aeroport LAX
158)Aeroport LBB
159)Aeroport LCH
160)Aeroport LEX
161)Aeroport LFT
162)Aeroport LGA
163)Aeroport LGB
164)Aeroport LIH
165)Aeroport LIT
166)Aeroport LMT
167)Aeroport LNK
168)Aeroport LRD
169)Aeroport LSE
170)Aeroport LWB
171)Aeroport LWS
172)Aeroport LYH
173)Aeroport MAF
174)Aeroport MBS
175)Aeroport MCI
176)Aeroport MCN
177)Aeroport MCO
178)Aeroport MDT
179)Aeroport MDW
180)Aeroport MEI
181)Aeroport MEM
182)Aeroport MFE
183)Aeroport MFR
184)Aeroport MGM
185)Aeroport MHT
186)Aeroport MIA
187)Aeroport MKE
188)Aeroport MKG
189)Aeroport MLB
190)Aeroport MLI
191)Aeroport MLU
192)Aeroport MOB
193)Aeroport MOD
194)Aeroport MOT
195)Aeroport MQT
196)Aeroport MRY
197)Aeroport MSN
198)Aeroport MSO
199)Aeroport MSP
200)Aeroport MSY
201)Aeroport MTJ
202)Aeroport MYR
203)Aeroport OAJ
204)Aeroport OAK
205)Aeroport OGG
206)Aeroport OKC
207)Aeroport OMA
208)Aeroport OME
209)Aeroport ONT
210)Aeroport ORD
211)Aeroport ORF
212)Aeroport OTH
213)Aeroport OTZ
214)Aeroport OXR
215)Aeroport PBI
216)Aeroport PDX
217)Aeroport PFN
218)Aeroport PHF
219)Aeroport PHL
220)Aeroport PHX
221)Aeroport PIA
222)Aeroport PIH
223)Aeroport PIR
224)Aeroport PIT
225)Aeroport PLN
226)Aeroport PMD
227)Aeroport PNS
228)Aeroport PSC
229)Aeroport PSE
230)Aeroport PSG
231)Aeroport PSP
232)Aeroport PUB
233)Aeroport PVD
234)Aeroport PWM
235)Aeroport RAP
236)Aeroport RDD
237)Aeroport RDM
238)Aeroport RDU
239)Aeroport RFD
240)Aeroport RHI
241)Aeroport RIC
242)Aeroport RKS
243)Aeroport RNO
244)Aeroport ROA
245)Aeroport ROC
246)Aeroport ROW
247)Aeroport RST
248)Aeroport RSW
249)Aeroport SAN
250)Aeroport SAT
251)Aeroport SAV
252)Aeroport SBA
253)Aeroport SBN
254)Aeroport SBP
255)Aeroport SCC
256)Aeroport SCE
257)Aeroport SDF
258)Aeroport SEA
259)Aeroport SFO
260)Aeroport SGF
261)Aeroport SGU
262)Aeroport SHV
263)Aeroport SIT
264)Aeroport SJC
265)Aeroport SJT
